chapter_no,heading_1,heading_2,heading_3,heading_4,heading_5,sub_section_no,source_url,zoneomics_url,is_sub_chunk,sub_chunk_no,text
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 1 INTRODUCTION TO TITLE 11,100  ENACTMENT AND TITLE,100.1, ,sub-sec-1.1.1.1,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-109,https://zoneomics.com/code/191/chapter_1#1.1.1.1,False,0,"100.1 The Zoning Commission for the District of Columbia, pursuant to authority conferred by Congress under the Zoning Act of 1938, approved June 20, 1938 (52 Stat.
797, as amended; D.C. Official Code §§ 6-641.01 to 6-641.15 (hereafter, the Zoning Act), after public notice and hearing prescribed by law, does hereby establish and adopt these regulations (2016 Regulations) and the Zoning Maps accompanying them to supersede in full the zoning regulations and the Zoning Maps, as originally adopted on, and effective as of 12:01 a.m. May 12, 1958 (1958 Regulations), as amended, and that are hereby repealed."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 1 INTRODUCTION TO TITLE 11,100  ENACTMENT AND TITLE,100.2, ,sub-sec-1.1.1.2,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-110,https://zoneomics.com/code/191/chapter_1#1.1.1.2,False,0,100.2 Title 11 is organized into a series of subtitles consisting of the Zoning Regulations and the Administrative Regulations.
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 1 INTRODUCTION TO TITLE 11,100  ENACTMENT AND TITLE,100.3, ,sub-sec-1.1.1.3,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-111,https://zoneomics.com/code/191/chapter_1#1.1.1.3,False,0,"100.3 These regulations and the Zoning Maps (as adopted) became effective at 12:01 A.M. September 6, 2016."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 1 INTRODUCTION TO TITLE 11,100  ENACTMENT AND TITLE,100.4, ,sub-sec-1.1.1.4,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-112,https://zoneomics.com/code/191/chapter_1#1.1.1.4,False,0,"100.4 The
1958 Regulations, as amended, shall continue in full force and effect as follows:
(a) With respect to any construction or occupancy authorized under this title;
(b) With respect to any right accrued, any duty imposed, any offense committed, any penalty incurred, or any proceeding commenced under or by virtue of the regulations repealed; and (a) With respect to any civil suit, action, or proceeding pending to enforce any right under the authority of the regulations repealed, any suit, action, or proceeding shall proceed with, and conclude under, the regulations in existence when the suit, action, or proceeding was instituted."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 1 INTRODUCTION TO TITLE 11,100  ENACTMENT AND TITLE,100.5, ,sub-sec-1.1.1.5,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-113,https://zoneomics.com/code/191/chapter_1#1.1.1.5,False,0,"100.5 The long title of Title 11, as adopted, shall be as follows:
REGULATIONS CONTROLLING AND RESTRICTING THE HEIGHT, BULK, NUMBER OF STORIES, AND SIZE OF BUILDINGS AND OTHER STRUCTURES, THE OPEN SPACES AROUND THEM, THE DENSITY OF POPULATION, AND THE USES OF BUILDINGS, STRUCTURES, AND LAND IN THE DISTRICT OF COLUMBIA, AND FOR SAID PURPOSES DIVIDING THE DISTRICT OF COLUMBIA INTO ZONING DISTRICTS."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 1 INTRODUCTION TO TITLE 11,100  ENACTMENT AND TITLE,100.6, ,sub-sec-1.1.1.6,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-114,https://zoneomics.com/code/191/chapter_1#1.1.1.6,False,0,"100.6 The regulations in this title shall be composed of the Zoning Regulations and the Administrative Regulations, and may be cited by the short title of the ""Zoning Regulations of the District of Columbia."""
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 1 INTRODUCTION TO TITLE 11,100  ENACTMENT AND TITLE,100.7, ,sub-sec-1.1.1.7,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-115,https://zoneomics.com/code/191/chapter_1#1.1.1.7,False,0,100.7 Zoning shall be designated after public hearing in the manner prescribed by the Zoning Act).
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 1 INTRODUCTION TO TITLE 11,101  INTERPRETATION AND APPLICATION,101.1, ,sub-sec-1.1.2.1,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-117,https://zoneomics.com/code/191/chapter_1#1.1.2.1,False,0,"101.1 In their interpretation and application, the provisions of this title shall be held to be the minimum requirements adopted for the promotion of the public health, safety, morals, convenience, order, prosperity, and general welfare to:
(a) Provide adequate light and air;
(b) Prevent undue concentration of population and the overcrowding of land; and (c) Provide distribution of population, business and industry, and use of land that will tend to create conditions favorable to transportation, protection of property, civic activity, and recreational, educational, and cultural opportunities; and that will tend to further economy and efficiency in the supply of public services."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 1 INTRODUCTION TO TITLE 11,101  INTERPRETATION AND APPLICATION,101.2, ,sub-sec-1.1.2.2,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-118,https://zoneomics.com/code/191/chapter_1#1.1.2.2,False,0,"101.2 The regulations in this title and the Zoning Maps are designed with consideration of the:
(a) Character of the respective zones;
(b) Suitability of each zone for the uses permitted in each zone under this title;
(c) Encouragement of the stability of zones and of land values in those zones; and (d) Requirement that zoning shall not be inconsistent with the Comprehensive Plan for the National Capital."
1,SUBTITLE A AUTHORITY AND APPLICABILITY,CHAPTER 1 INTRODUCTION TO TITLE 11,101  INTERPRETATION AND APPLICATION,101.3, ,sub-sec-1.1.2.3,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=106#secid-119,https://zoneomics.com/code/191/chapter_1#1.1.2.3,False,0,"101.3 The provisions of this title shall govern whenever they:
(a) Require larger setbacks, courts, or other open spaces;
(b) Require a lower height or bulk of buildings or a smaller number of stories;
(c) Require a greater percentage of lot to be unoccupied; or (d) Impose other higher standards than are required in or under any statute or by any other municipal regulations."
