chapter_no,heading_1,heading_2,heading_3,heading_4,sub_section_no,source_url,zoneomics_url,is_sub_chunk,sub_chunk_no,text
1,TWENTYNINE PALMS, , , ,sub-sec-1,https://library.municode.com/ca/twentynine_palms/codes/code_of_ordinances?nodeId=TWPA,https://zoneomics.com/code/4773/chapter_1#1,False,0,"____________ A Codification of the General Ordinances of the City of Twentynine Palms, California ____________ Beginning with Supp.
No.
6, Supplemented by Municipal Code Corporation ____________"
1,TWENTYNINE PALMS,PREFACE, , ,sub-sec-1.1,https://library.municode.com/ca/twentynine_palms/codes/code_of_ordinances?nodeId=TWPA_PREFACE,https://zoneomics.com/code/4773/chapter_1#1.1,False,0,"The Twentynine Palms, California Municipal Code, originally published by Book Publishing Company in 1996, has been kept current by regular supplementation by Matthew Bender & Company, Inc., its successor in interest.
Beginning with Supplement No.
6, Municode will be keeping this Code current by regular supplementation.
The Code is organized by subject matter under an expandable three-factor decimal numbering system which is designed to facilitate supplementation without disturbing the numbering of existing provisions.
Each section number designates, in sequence, the numbers of the title, chapter, and section.
Thus, section 2.12.040 is section .040, located in chapter
2.12 of title
2. In most instances, sections are numbered by ""tens"" (.010, .020, .030, etc.
), leaving nine vacant positions between original sections to accommodate future provisions.
Similarly, chapters and titles are numbered to provide for internal expansion.
In parentheses following each section is a legislative history identifying the specific sources for the provisions of that section.
This legislative history is complemented by an ordinance disposition table, following the text of the Code, listing by number all ordinances, their subjects, and where they appear in the codification; and beginning with Supplement No.
6, legislation can be tracked using the ""Code Comparative Table and Disposition List.""
A subject-matter index, with complete cross-referencing, locates specific Code provisions by individual section numbers.
This supplement brings the Code up to date through Ordinance No.
326, passed December 9, 2025. Municode 1700 Capital Circle SW Tallahassee, FL
32310 800-262-2633"
1,TWENTYNINE PALMS,HOW TO USE YOUR CODE, , ,sub-sec-1.2,https://library.municode.com/ca/twentynine_palms/codes/code_of_ordinances?nodeId=TWPA_HOW_USE_YOUR_CODE,https://zoneomics.com/code/4773/chapter_1#1.2,True,1,"This Code is organized to make the laws of the city as accessible as possible to city officials, city employees and private citizens.
Please take a moment to familiarize yourself with some of the important elements of this Code.
Numbering System.
The numbering system is the backbone of a Code of Ordinances; Municipal Code Corporation uses a unique and versatile numbering structure that allows for easy expansion and amendment of this Code.
It is based on three tiers, beginning with title, then chapter, and ending with section.
Each part is represented in the Code section number.
For example, section 2.04.010 is section .010, in chapter
2.04 of title
2. Title.
A title is a broad category under which ordinances on a related subject are compiled.
This Code contains about 15 to 20 titles.
For example, the first title is Title 1, General Provisions, which may contain ordinances about the general penalty, Code adoption and definitions.
The titles in this Code are separated by tabbed divider pages for quick reference.
Some titles are ""Reserved"" for later use.
Chapter.
Chapters deal with more specific subjects, and are often derived from one ordinance.
All of the chapters on a related subject are grouped in one title.
The chapters are numbered so that new chapters which should logically be placed near certain existing chapters can be added at a later time without renumbering existing material.
For example, Chapter 2.06, City Manager, can be added between
Chapter 2.04, City Council, and
Chapter 2.08, City Attorney.
Section.
Each section of the Code contains substantive ordinance material.
The sections are numbered by ""tens"" to allow for expansion of the Code without renumbering.
Tables of Contents.
There are many tables of contents in this Code to assist in locating specific information.
At the beginning of the Code is the main table of contents listing each title.
In addition, each title and chapter has its own table of contents listing the chapters and sections, respectively.
Ordinance History Note.
At the end of each Code section, you will find an ""ordinance history note,"" which lists the underlying ordinances for that section.
The ordinances are listed by number, section (if applicable) and year.
(Example: (Ord.
272
§ 1, 1992)) Beginning with Supplement No.
6, a secondary ordinance history note will be appended to affected sections.
Ordinance history notes will be amended with the most recent ordinance added to the end.
These history notes can be cross-referenced to the Code Comparative Table and Disposition List appearing at the back of the volume preceding the index.
Statutory References.
The statutory references direct the Code user to those portions of the state statutes that are applicable to the laws of the municipality.
As the statutes are revised, these references will be updated.
Cross-Reference Table.
When a Code is based on an earlier codification, the cross-reference table will help users find older or ""prior"" Code references in the new Code.
The cross-reference table is located near the end of the Code, under the tabbed divider ""Tables.""
This table lists the prior Code section in the column labeled ""Prior Code Section"" and the new Code section in the column labeled ""Herein.""
As of Supplement No.
6, this table will no longer be updated.
Ordinance List and Disposition Table.
To find a specific ordinance in the Code, turn to the section called ""Tables"" for the Ordinance List and Disposition Table.
This table tells the reader the status of every ordinance reviewed for inclusion in the Code."
1,TWENTYNINE PALMS,HOW TO USE YOUR CODE, , ,sub-sec-1.2,https://library.municode.com/ca/twentynine_palms/codes/code_of_ordinances?nodeId=TWPA_HOW_USE_YOUR_CODE,https://zoneomics.com/code/4773/chapter_1#1.2,True,2,"The table is organized by ordinance number and provides a brief description and the disposition of the ordinance.
If the ordinance is codified, the chapter (or chapters) will be indicated.
(Example: (2.04, 6.12, 9.04)) If the ordinance is of a temporary nature or deals with subjects not normally codified, such as budgets, taxes, annexations or rezones, the disposition will be ""(Special).""
If the ordinance is for some reason omitted from the Code, usually at the direction of the municipality, the disposition will be ""(Not codified).""
Other dispositions sometimes used are ""(Tabled),"" ""(Pending),"" ""(Number Not Used)"" or ""(Missing).""
Beginning with Supplement No.
6, this table will be replaced with the ""Code Comparative Table and Disposition List.""
Code Comparative Table and Disposition List.
Beginning with Supplement No.6, a Code Comparative Table and Disposition List has been added for use in tracking legislative history.
Located in the back of this volume, this table is a chronological listing of each ordinance considered for codification.
The Code Comparative Table and Disposition List specifies the ordinance number, adoption date, description of the ordinance and the disposition within the Code of each ordinance.
By use of the Code Comparative Table and Disposition List, the reader can locate any section of the Code as supplemented, and any subsequent ordinance included herein.
Index.
If you are not certain where to look for a particular subject in this Code, start with the index.
This is an alphabetical multi-tier subject index which uses section numbers as the reference, and cross-references where necessary.
Look for the main heading of the subject you need, then the appropriate subheadings:
BUSINESS LICENSE See also BUSINESS TAX Fee
5.04.030 Required when
5.04.010 The index will be updated as necessary when the Code text is amended.
Instruction Sheet.
Each supplement to the new Code will be accompanied by an Instruction Sheet.
The Instruction Sheet will tell the Code user the date of the most recent supplement and the last ordinance contained in that supplement.
It will then list the pages that must be pulled from the Code and the new pages that must be inserted.
Following these instructions carefully will assure that the Code is kept accurate and current.
Removed pages should be kept for future reference.
Page Numbers.
When originally published, the pages of this Code were consecutively numbered.
As of Supplement No.
6, when new pages are inserted with amendments, the pages will follow a ""Point Numbering System"".
(Example: 32, 32.1, 32.2, 32.2.1, 32.2.2., 33).
Backs of pages that are blank (in codes that are printed double-sided) will be left unnumbered but the number will be ""reserved"" for later use.
Electronic Submission.
In the interests of accuracy and speed, we encourage you to submit ordinances electronically if at all possible.
We can accept most any file format, including Word, WordPerfect or text files.
We prefer Word, any version.
You can send files to us as an e-mail attachment, by FTP, on a diskette or CD-ROM.
Electronic files enable us not only to deliver the supplement more quickly but to also reduce the number of errors.
Our e-mail address is: ords@municode.com.
For hard copy, send two copies of all ordinances passed to:
Municipal Code Corporation P.O.
Box
2235 Tallahassee, FL
32316 Customer Service.
If you have any questions about this Code or our services, please contact Municipal Code Corporation at 1-800-262-2633 or:
Municipal Code Corporation1700 Capital Circle SW Tallahassee, FL 32310"
2,SUPPLEMENT HISTORY TABLE,Article 1 - General Provisions,Chapter 19.02 - Authority,19.02.010 - Title,sub-sec-2.1.1.1,https://library.municode.com/ca/twentynine_palms/codes/code_of_ordinances?nodeId=SUHITA_ART1GEPR_CH19.02AU_19.02.010TI,https://zoneomics.com/code/4773/chapter_2#2.1.1.1,False,0,"This Title shall be known as the ""City of Twentynine Palms Development Code,"" hereinafter referred to as the ""Development Code."""
2,SUPPLEMENT HISTORY TABLE,Article 1 - General Provisions,Chapter 19.02 - Authority,19.020.020 - Purpose,sub-sec-2.1.1.2,https://library.municode.com/ca/twentynine_palms/codes/code_of_ordinances?nodeId=SUHITA_ART1GEPR_CH19.02AU_19.020.020PU,https://zoneomics.com/code/4773/chapter_2#2.1.1.2,False,0,"The purpose of this Development Code is to protect and promote the public health, safety and welfare of the citizens of Twentynine Palms; implement the goals and objectives of the General Plan in guiding future growth of the City; safeguard and enhance the appearance and quality of development of the City; and protect the physical, social and economic stability resulting from comprehensive and orderly planned development."
2,SUPPLEMENT HISTORY TABLE,Article 1 - General Provisions,Chapter 19.02 - Authority,19.02.030 - Constitutional Authority,sub-sec-2.1.1.3,https://library.municode.com/ca/twentynine_palms/codes/code_of_ordinances?nodeId=SUHITA_ART1GEPR_CH19.02AU_19.02.030COAU,https://zoneomics.com/code/4773/chapter_2#2.1.1.3,False,0,"This Development Code is adopted pursuant to the authority granted to the City of Twentynine Palms by the California Constitution, and pursuant to the California Planning and Zoning Law (Government Code Section 65000 et seq.
), the State
Subdivision Map Act (Government Code Section 66410 et seq.
), the California Environmental Quality Act (Public Resources Code 21000 et seq.
), and other applicable state and local requirements.
19.02.040 Effect of Development Code The standards, criteria, policies and requirements contained in this Development Code shall be considered the minimum necessary to promote the health, safety and welfare of the City."
2,SUPPLEMENT HISTORY TABLE,Article 1 - General Provisions,Chapter 19.02 - Authority,19.02.050 - Rules of Interpretation,sub-sec-2.1.1.4,https://library.municode.com/ca/twentynine_palms/codes/code_of_ordinances?nodeId=SUHITA_ART1GEPR_CH19.02AU_19.02.050RUIN,https://zoneomics.com/code/4773/chapter_2#2.1.1.4,False,0,"A.
Development Code Regulations.
Where uncertainty exists regarding the interpretation of any provision of this Title or its application to a specific site, the Community Development Director shall determine the intent of the provision.
The determination of the Director may be appealed in accordance with the provisions of Section 19.28.120 (Appeals).
B. Zoning Map.
Where uncertainty exists regarding the boundary of a land use/zoning district, the following rules shall apply:
1. District boundaries shown as approximately following the property line of a lot or an open space line shown on a map shall be construed to follow such lines.
2. Where a district boundary divides a lot, the location of the district boundary shall be determined by the Director.
Such determinations shall not constitute amendment of the Zoning Map.
3. District boundaries shown as approximately following right-of-way lines of highways, streets or other identifiable boundary lines shall be construed to follow such right-of-way or boundary lines.
4. District boundaries shown as lying within right-of-way lines of highways, streets, defined natural features or other identifiable boundary lines shall be construed to follow the centerline of such right-of-way or boundary lines.
5. District boundaries shown as lying at the edge of a mapped floodplain boundary line shall be construed to follow the adopted FEMA or DWR floodplain boundary or contour for the watercourse, as determined by the Director.
6. If any uncertainty remains as to the location of a district boundary or other feature shown on the Zoning Map, the location shall be determined by the Director.
Such determinations shall not constitute amendment of the Zoning Map.
C. Record of Interpretation.
The Director shall keep a record of interpretations made pursuant to this Section that shall be available to the public."
2,SUPPLEMENT HISTORY TABLE,Article 1 - General Provisions,Chapter 19.02 - Authority,19.02.060 - Prior Approvals,sub-sec-2.1.1.5,https://library.municode.com/ca/twentynine_palms/codes/code_of_ordinances?nodeId=SUHITA_ART1GEPR_CH19.02AU_19.02.060PRAP,https://zoneomics.com/code/4773/chapter_2#2.1.1.5,False,0,"Any project approved by the City prior to the effective date of this Development Code, which includes a use or improvement that does not conform to the regulations set forth herein, may nevertheless be developed to the extent authorized by the approval, provided the approval has not expired.
Such uses and improvements shall be deemed legal nonconforming."
2,SUPPLEMENT HISTORY TABLE,Article 1 - General Provisions,Chapter 19.02 - Authority,19.02.070 - Status of Covenants and Agreements,sub-sec-2.1.1.6,https://library.municode.com/ca/twentynine_palms/codes/code_of_ordinances?nodeId=SUHITA_ART1GEPR_CH19.02AU_19.02.070STCOAG,https://zoneomics.com/code/4773/chapter_2#2.1.1.6,False,0,"The provisions of this Development Code are not intended to abrogate any legally adopted easements, covenants or other agreements which are more restrictive than the provisions of this Development Code.
19.02.080 Conflicting Ordinances In the event the provisions of this Development Code conflict with any other City ordinance or regulation, the more restrictive shall govern."
